food_id,food_name,food_name_normalized,food_type,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,zinc_mg,cholesterol_mg,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,water_g,ash_g,magnesium_mg,phosphorus_mg,source_document,source_sheet,source_page,import_status,alanine_g,arginine_g,aspartic_acid_g,cystine_g,folate_mcg,glutamic_acid_g,glycine_g,histidine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,mufa_g,mufa_pufa_g,niacin_mg,pantothenic_acid_mg,phenylalanine_g,proline_g,riboflavin_mg,saturated_fat_g,serine_g,thiamin_mg,threonine_g,tryptophan_g,tyrosine_g,valine_g,vitamin_b6_mg,vitamin_e_mg,vitamin_k_mcg
food_banh_te,Bánh tẻ,banh te,mon_an,250.4,3.9,5.2,47.0,0.3,2.4,20.6,18.0,1.2,0.0,0.0,,2.3,1.5,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_tieu,Bánh tiêu,banh tieu,mon_an,233.9,3.4,13.9,23.8,0.2,40.3,61.2,47.0,1.1,0.8,,0.0,0.4,0.2,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_troi,Bánh trôi,banh troi,mon_an,473.0,8.6,2.5,104.0,0.7,3.0,0.0,32.0,1.1,2.4,,,0.0,0.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_xeo,Bánh xèo,banh xeo,mon_an,306.0,20.7,2.9,49.5,2.1,411.9,440.2,64.9,3.0,2.1,15.6,4.2,8.7,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_bo_gio_heo_hue,Bún bò giò heo (Huế),bun bo gio heo (hue),mon_an,524.0,28.3,16.7,65.1,1.4,686.9,234.0,81.1,17.9,1.6,45.4,123.0,1370.0,61.7,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_ca,Bún cá,bun ca,mon_an,331.1,12.8,8.1,51.8,,861.7,,153.0,1.8,0.5,4.9,83.5,696.0,28.9,,,37.3,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_cha,Bún chả,bun cha,mon_an,518.0,25.8,77.0,90.3,1.6,1162.0,381.0,101.0,2.2,2.5,67.0,6.0,,1.3,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_cha_ca,Bún chả cá,bun cha ca,mon_an,635.0,21.7,30.0,69.6,4.5,1474.9,543.9,339.6,2.7,0.6,,77.3,2521.0,79.5,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_dau_mam_tom,Bún đậu mắm tôm,bun đau mam tom,mon_an,984.9,42.5,51.7,87.4,,881.3,434.2,636.4,17.2,3.5,124.2,55.7,,,,,138.3,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,21.4,,,,,,,,,,,,,,,
food_bun_mong_gio,Bún móng giò,bun mong gio,mon_an,443.0,18.8,15.6,56.8,,1382.1,,281.2,2.7,1.0,57.5,70.6,692.6,30.9,,,63.0,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
